table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,AiRecommendationResult,4,Score,numeric,numeric,NO,,,5,2
public,AiRecommendationResult,5,MatchTier,character varying,varchar,NO,,20,,
public,AiRecommendationResult,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiRecommendationSession,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiRecommendationSession,2,CustomerId,uuid,uuid,YES,,,,
public,AiRecommendationSession,3,OriginalQuery,character varying,varchar,NO,,4000,,
public,AiRecommendationSession,4,ParsedPreferenceJson,jsonb,jsonb,YES,,,,
public,AiRecommendationSession,5,Latitude,numeric,numeric,YES,,,10,7
public,AiRecommendationSession,6,Longitude,numeric,numeric,YES,,,10,7
public,AiRecommendationSession,7,MaxDistanceMeters,integer,int4,YES,,,32,0
public,AiRecommendationSession,8,Status,character varying,varchar,NO,,20,,
public,AiRecommendationSession,9,ProviderName,character varying,varchar,YES,,100,,
public,AiRecommendationSession,10,UsedFallback,boolean,bool,NO,,,,
public,AiRecommendationSession,11,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiRecommendationSession,12,ExpiresAt,timestamp with time zone,timestamptz,NO,,,,
public,AiRecommendationSession,13,ProviderFailureCategory,character varying,varchar,YES,,50,,
public,AiRecommendationSession,14,ProviderModelName,character varying,varchar,YES,,100,,
public,AiRecommendationSession,15,ProviderRequestId,character varying,varchar,YES,,200,,
public,Allergen,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Allergen,2,Code,character varying,varchar,NO,,100,,
public,Allergen,3,Name,character varying,varchar,NO,,200,,
public,Allergen,4,IsSystem,boolean,bool,NO,false,,,
public,Allergen,5,IsActive,boolean,bool,NO,true,,,
public,Allergen,6,DisplayOrder,integer,int4,NO,0,,32,0
public,Allergen,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Allergen,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Booth,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Booth,2,RegistrationId,uuid,uuid,YES,,,,
public,Booth,3,NightMarketId,uuid,uuid,NO,,,,
public,Booth,4,BoothOwnerId,uuid,uuid,NO,,,,
public,Booth,5,ZoneId,uuid,uuid,YES,,,,
public,Booth,6,BoothName,character varying,varchar,NO,,200,,
public,Booth,7,BoothCode,character varying,varchar,YES,,50,,
public,Booth,8,Description,text,text,YES,,,,
public,Booth,9,PhoneNumber,character varying,varchar,YES,,20,,
public,Booth,10,SlotNumber,text,text,YES,,,,
public,Booth,11,ThumbnailUrl,character varying,varchar,YES,,500,,
public,Booth,12,MapPositionX,numeric,numeric,YES,,,10,2
public,Booth,13,MapPositionY,numeric,numeric,YES,,,10,2
public,Booth,14,Latitude,numeric,numeric,YES,,,10,7
public,Booth,15,Longitude,numeric,numeric,YES,,,10,7
public,Booth,16,OpenTime,time without time zone,time,YES,,,,
public,Booth,17,CloseTime,time without time zone,time,YES,,,,
public,Booth,18,AverageRating,numeric,numeric,YES,0,,3,2
public,Booth,19,IsFeatured,boolean,bool,NO,false,,,
public,Booth,20,PackageName,character varying,varchar,YES,,100,,
public,Booth,21,PackageExpiryDate,timestamp with time zone,timestamptz,YES,,,,
public,Booth,22,PaymentQRImage,text,text,YES,,,,
public,Booth,23,Status,character varying,varchar,NO,,20,,
public,Booth,24,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Booth,25,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Booth,26,LogoUrl,character varying,varchar,YES,,500,,
public,BoothDocuments,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothDocuments,2,RegistrationId,uuid,uuid,YES,,,,
public,BoothDocuments,3,DocumentType,text,text,NO,,,,
public,BoothDocuments,4,DocumentUrl,text,text,NO,,,,
public,BoothDocuments,5,FileUrl,character varying,varchar,NO,,500,,
public,BoothDocuments,6,VerificationStatus,character varying,varchar,NO,'PendingReview'::character varying,20,,
public,BoothDocuments,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothDocuments,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothDocuments,9,BoothId,uuid,uuid,YES,,,,
public,BoothImages,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothImages,2,BoothId,uuid,uuid,NO,,,,
public,BoothImages,3,ImageUrl,character varying,varchar,NO,,500,,
public,BoothImages,4,DisplayOrder,integer,int4,NO,0,,32,0
public,BoothImages,5,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothImages,6,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothLocations,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothLocations,2,BoothId,uuid,uuid,NO,,,,
public,BoothLocations,3,LayoutId,uuid,uuid,NO,,,,
public,BoothLocations,4,XCoordinate,numeric,numeric,NO,,,10,2
public,BoothLocations,5,YCoordinate,numeric,numeric,NO,,,10,2
public,BoothLocations,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothLocations,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothLocations,8,IsDeleted,boolean,bool,NO,false,,,
public,BoothLocations,9,LayoutNodeId,uuid,uuid,NO,,,,
public,BoothLocations,10,ReleasedAt,timestamp with time zone,timestamptz,YES,,,,
public,BoothLocations,11,SlotNumber,character varying,varchar,YES,,50,,
public,BoothLocations,12,ZoneId,uuid,uuid,YES,,,,
public,BoothPaymentInfos,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothPaymentInfos,2,BoothId,uuid,uuid,NO,,,,
public,BoothPaymentInfos,3,PaymentType,integer,int4,NO,,,32,0
public,BoothPaymentInfos,4,BankName,character varying,varchar,YES,,100,,
public,BoothPaymentInfos,5,BankAccountNumber,character varying,varchar,YES,,50,,
public,BoothPaymentInfos,6,BankAccountHolder,character varying,varchar,YES,,150,,
public,BoothPaymentInfos,7,QRImageUrl,character varying,varchar,YES,,500,,
public,BoothPaymentInfos,8,IsDefault,boolean,bool,NO,false,,,
public,BoothPaymentInfos,9,Status,character varying,varchar,NO,'Draft'::character varying,20,,
public,BoothPaymentInfos,10,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothPaymentInfos,11,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothRegistrations,1,Id,uuid,uuid,NO,,,,
public,BoothRegistrations,2,OwnerId,uuid,uuid,NO,,,,
public,BoothRegistrations,3,RequestedNightMarketId,uuid,uuid,NO,,,,
public,BoothRegistrations,4,PreferredZoneId,uuid,uuid,YES,,,,
public,BoothRegistrations,5,PreferredLayoutNodeId,uuid,uuid,YES,,,,
public,BoothRegistrations,6,BoothName,text,text,NO,,,,
public,BoothRegistrations,7,Description,text,text,YES,,,,
public,BoothRegistrations,8,Phone,text,text,YES,,,,
public,BoothRegistrations,9,Status,integer,int4,NO,,,32,0
public,BoothRegistrations,10,RejectReason,text,text,YES,,,,
public,BoothRegistrations,11,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
public,BoothRegistrations,12,UpdatedAt,timestamp with time zone,timestamptz,NO,,,,
public,BoothRegistrations,13,BoothId,uuid,uuid,YES,,,,
public,BoothSubscriptions,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothSubscriptions,2,BoothId,uuid,uuid,NO,,,,
public,BoothSubscriptions,3,PackageId,uuid,uuid,NO,,,,
public,BoothSubscriptions,4,StartDate,timestamp with time zone,timestamptz,NO,,,,
public,BoothSubscriptions,5,EndDate,timestamp with time zone,timestamptz,NO,,,,
public,BoothSubscriptions,6,Status,character varying,varchar,NO,'Active'::character varying,20,,
public,BoothSubscriptions,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothSubscriptions,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothSubscriptions,9,AdminNotes,text,text,YES,,,,
public,BoothSubscriptions,10,PaymentEvidenceUrl,text,text,YES,,,,
public,BoothSubscriptions,11,PaidAmount,numeric,numeric,NO,0.0,,18,2
public,BoothSubscriptions,12,PaidAt,timestamp with time zone,timestamptz,YES,,,,
public,BoothSubscriptions,13,PayOSOrderCode,bigint,int8,YES,,,64,0
public,BoothSubscriptions,14,PayOSPaymentLinkId,character varying,varchar,YES,,100,,
public,BoothSubscriptions,15,PaymentExpiresAt,timestamp with time zone,timestamptz,YES,,,,
public,BoothSubscriptions,16,ChangeType,text,text,YES,,,,
public,BoothSubscriptions,17,CreditAmount,numeric,numeric,NO,0.0,,,
public,BoothSubscriptions,18,PausedAt,timestamp with time zone,timestamptz,YES,,,,
public,BoothSubscriptions,19,PausedRemainingDays,integer,int4,YES,,,32,0
public,BoothSubscriptions,20,PolicyAcceptedAt,timestamp with time zone,timestamptz,YES,,,,
public,BoothSubscriptions,21,PolicySnapshotJson,text,text,YES,,,,
public,BoothSubscriptions,22,PolicyVersion,text,text,YES,,,,
public,BoothSubscriptions,23,PreviousSubscriptionId,uuid,uuid,YES,,,,
public,BoothSubscriptions,24,BuyerName,text,text,YES,,,,
public,BoothSubscriptions,25,BuyerEmail,text,text,YES,,,,
public,BoothSubscriptions,26,BuyerPhone,text,text,YES,,,,
public,Cart,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Cart,2,CustomerId,uuid,uuid,NO,,,,
public,Cart,3,IsDeleted,boolean,bool,NO,false,,,
public,Cart,4,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Cart,5,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CartItem,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,CartItem,2,CartId,uuid,uuid,NO,,,,
public,CartItem,3,FoodItemId,uuid,uuid,NO,,,,
public,CartItem,4,Quantity,integer,int4,NO,,,32,0
public,CartItem,5,IsDeleted,boolean,bool,NO,false,,,
public,CartItem,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CartItem,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,ComplaintImages,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,ComplaintImages,2,ComplaintId,uuid,uuid,NO,,,,
public,ComplaintImages,3,ImageUrl,character varying,varchar,NO,,500,,
public,ComplaintImages,4,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,ComplaintImages,5,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Complaints,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Complaints,2,CustomerId,uuid,uuid,NO,,,,
public,Complaints,3,BoothId,uuid,uuid,NO,,,,
public,Complaints,4,OrderId,uuid,uuid,NO,,,,
public,Complaints,5,Title,character varying,varchar,NO,,200,,
public,Complaints,6,Description,text,text,NO,,,,
public,Complaints,7,AdminResponse,text,text,YES,,,,
public,Complaints,8,Status,character varying,varchar,NO,'Pending'::character varying,20,,
public,Complaints,9,ResolutionAction,character varying,varchar,YES,,30,,
public,Complaints,10,PolicyViolation,character varying,varchar,YES,,500,,
public,Complaints,11,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Complaints,12,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Conversations,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Conversations,2,CustomerId,uuid,uuid,NO,,,,
public,Conversations,4,Status,character varying,varchar,NO,'Active'::character varying,20,,
public,Conversations,5,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Conversations,6,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Conversations,7,BoothOwnerLastReadAt,timestamp with time zone,timestamptz,YES,,,,
public,Conversations,8,CustomerLastReadAt,timestamp with time zone,timestamptz,YES,,,,
public,Conversations,9,LastMessageAt,timestamp with time zone,timestamptz,YES,,,,
public,Conversations,10,LastMessageId,uuid,uuid,YES,,,,
public,Conversations,11,BoothId,uuid,uuid,NO,,,,
public,CustomerAllergenExclusion,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerAllergenExclusion,2,AllergenId,uuid,uuid,NO,,,,
public,CustomerAllergenExclusion,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerAvoidedIngredient,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerAvoidedIngredient,2,IngredientId,uuid,uuid,NO,,,,
public,CustomerAvoidedIngredient,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerAvoidedTasteProfile,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerAvoidedTasteProfile,2,TasteProfileId,uuid,uuid,NO,,,,
public,CustomerAvoidedTasteProfile,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerDietaryRequirement,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerDietaryRequirement,2,DietaryAttributeId,uuid,uuid,NO,,,,
public,CustomerDietaryRequirement,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerFoodProfile,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerFoodProfile,2,PreferredSpiceLevel,character varying,varchar,YES,,20,,
public,CustomerFoodProfile,3,PreferredPriceMin,numeric,numeric,YES,,,12,2
public,CustomerFoodProfile,4,PreferredPriceMax,numeric,numeric,YES,,,12,2
public,CustomerFoodProfile,5,DefaultMaxDistanceMeters,integer,int4,YES,,,32,0
public,CustomerFoodProfile,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerFoodProfile,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreference,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,CustomerPreference,2,CustomerId,uuid,uuid,NO,,,,
public,CustomerPreference,3,FoodTagId,uuid,uuid,NO,,,,
public,CustomerPreference,4,PreferenceKind,character varying,varchar,NO,,20,,
public,CustomerPreference,5,PreferenceSource,character varying,varchar,NO,,30,,
public,CustomerPreference,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreference,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreferredCourse,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerPreferredCourse,2,Course,character varying,varchar,NO,,30,,
public,CustomerPreferredCourse,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreferredDiningPurpose,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerPreferredDiningPurpose,2,Purpose,character varying,varchar,NO,,30,,
public,CustomerPreferredDiningPurpose,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreferredIngredient,1,CustomerId,uuid,uuid,NO,,,,
public,CustomerPreferredIngredient,2,IngredientId,uuid,uuid,NO,,,,
public,CustomerPreferredIngredient,3,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,CustomerPreferredPreparationMethod,1,CustomerId,uuid,uuid,NO,,,,
